pid,locid,majorarea,hindex,name
180197,426.0,computerscience,1.0,Chris  Murphy
119971,54.0,"neuro,computerscience",45.0,Ani  Nenkova
180200,426.0,computerscience,53.0,Benjamin C. Pierce
180201,426.0,computerscience,3.0,Aaron  Roth
180202,426.0,computerscience,33.0,Jianbo  Shi
180203,426.0,computerscience,18.0,Jonathan M. Smith
180205,426.0,computerscience,37.0,Val  Tannen
180206,426.0,"computerscience,robotics",29.0,Camillo Jose Taylor
180207,426.0,computerscience,57.0,Lyle H. Ungar
180508,2801.0,computerscience,48.0,Bow-Yaw  Wang
180510,426.0,computerscience,3.0,Zijiang  Yang
180513,426.0,computerscience,15.0,Swarat  Chaudhuri
180515,426.0,computerscience,7.0,James M. Alexander
180520,426.0,computerscience,4.0,Adnan  Ansar
180523,426.0,computerscience,17.0,Ameesh  Makadia
180524,426.0,computerscience,2.0,Ankita  Kumar
180526,426.0,computerscience,8.0,Oleg  Naroditsky
180527,426.0,computerscience,3.0,Alexander  Patterson
180529,426.0,computerscience,10.0,Yifeng  Zheng
180530,426.0,computerscience,16.0,Sudeepa  Roy
180531,426.0,computerscience,102.0,Zhuowei  Bao
180532,426.0,computerscience,19.0,Dianna  Xu
180534,426.0,computerscience,9.0,Boulos  Harb
180538,426.0,computerscience,21.0,Todd J. Green
180540,426.0,computerscience,11.0,Andrew  McGregor
180541,426.0,computerscience,3.0,Zhiyi  Huang
180542,426.0,computerscience,26.0,Siddharth  Suri
180544,426.0,computerscience,9.0,Jinsong  Tan
180545,426.0,computerscience,12.0,Tanmoy  Chakraborty
180547,426.0,computerscience,9.0,Wang-Chiew  Tan
180550,426.0,computerscience,22.0,Micah  Sherr
180551,426.0,computerscience,6.0,Changbin  Liu
180555,426.0,computerscience,5.0,Arun  Raghavan
180558,426.0,"computerscience,robotics",46.0,Jonathan  Schug
180559,426.0,computerscience,7.0,Vladimir  Gapeyev
180561,426.0,computerscience,14.0,Praveen  Srinivasan
180562,426.0,computerscience,2.0,QIhui  Zhu
180563,426.0,computerscience,4.0,Elena  Bernardis
180565,426.0,computerscience,4.0,Gang  Song
180569,426.0,computerscience,6.0,Sotiris  Ioannidis
180572,426.0,computerscience,13.0,Lucian  Popa
180577,426.0,"computerscience,robotics",9.0,Sang-Hack  Jung
180583,426.0,computerscience,10.0,Andrew I. Schein
180585,426.0,computerscience,1.0,Gary  Morris
180588,426.0,computerscience,11.0,Paramveer S. Dhillon
181135,315.0,computerscience,17.0,Alfonso F. Cardenas
181138,315.0,computerscience,36.0,Wesley  Chu
181140,315.0,computerscience,44.0,Adnan  Darwiche
181144,315.0,computerscience,21.0,Jason  Ernst
181146,315.0,computerscience,55.0,Eleazar  Eskin
181147,315.0,computerscience,105.0,Deborah  Estrin
181149,315.0,computerscience,94.0,Mario  Gerla
181161,315.0,computerscience,12.0,Songwu  Lu
181162,315.0,computerscience,2.0,Rupak  Majumdar
177407,315.0,"math,computerscience",63.0,Rafail  Ostrovsky
181172,315.0,computerscience,15.0,D. Stott Parker
181174,315.0,computerscience,81.0,Judea  Pearl
181175,315.0,computerscience,58.0,Miodrag  Potkonjak
181179,315.0,computerscience,71.0,Amit  Sahai
181182,426.0,computerscience,41.0,Fei  Sha
181187,315.0,computerscience,69.0,Demetri  Terzopoulos
180543,315.0,computerscience,15.0,Jennifer Wortman Vaughan
181190,315.0,computerscience,5.0,Jacques  Vidal
181191,315.0,computerscience,12.0,Wei  Wang
181192,315.0,computerscience,42.0,Carlo  Zaniolo
181193,315.0,computerscience,61.0,Song Chun Zhu
178572,315.0,"etree,computerscience",13.0,Junghoo (John) Cho
181584,277.0,computerscience,55.0,Serafim  Batzoglou
181585,277.0,computerscience,8.0,Michael  Bernstein
181586,277.0,computerscience,54.0,Moses  Charikar
181588,277.0,computerscience,13.0,David L. Dill
16073,4036.0,"neuro,computerscience",44.0,Ron  Dror
181591,277.0,computerscience,57.0,Ron  Fedkiw
181593,277.0,computerscience,97.0,Leonidas  Guibas
181594,277.0,computerscience,16.0,Doug  James
181595,277.0,"computerscience,ling",76.0,Dan  Jurafsky
181596,277.0,computerscience,42.0,Anshul  Kundaje
181598,277.0,computerscience,62.0,James  Landay
181600,277.0,computerscience,43.0,John  Mitchell
181601,277.0,computerscience,3.0,Andrew  Ng
181603,277.0,computerscience,35.0,Chris  Re
181607,277.0,computerscience,65.0,Silvio  Savarese
181608,277.0,computerscience,125.0,Sebastian  Thrun
181610,172.0,computerscience,12.0,Ryan  Williams
181613,277.0,computerscience,25.0,Edward  Feigenbaum
181616,277.0,computerscience,59.0,Jean-claude  Latombe
181617,277.0,computerscience,60.0,Marc  Levoy
181618,277.0,computerscience,5.0,Edward J. Mccluskey
181620,277.0,computerscience,21.0,Serge  Plotkin
181624,277.0,computerscience,46.0,Terry  Winograd
182195,315.0,computerscience,6.0,Ha Y. Song
182199,315.0,computerscience,55.0,Junlan  Zhou
182202,315.0,computerscience,38.0,Yi-Tao  Wang
182203,315.0,computerscience,7.0,Justin S. Collins
182206,315.0,computerscience,2.0,Alexander A. Bui
182207,315.0,computerscience,3.0,Roderick Y. Son
182208,315.0,computerscience,23.0,Giovanni  Giuffrida
182209,315.0,computerscience,17.0,Dongwon  Lee
182211,315.0,computerscience,5.0,Wenlei  Mao
182212,315.0,computerscience,23.0,Meng-Feng  Tsai
182213,315.0,computerscience,14.0,Zhenyu  Liu
182214,315.0,computerscience,9.0,Qinghua  Zou
182215,315.0,computerscience,21.0,Shaorong  Liu
182216,315.0,computerscience,7.0,Jianming  He
182230,315.0,computerscience,8.0,Hei  Chan
182231,315.0,computerscience,18.0,Jinbo  Huang
182234,315.0,computerscience,13.0,Thammanit  Pipatsrisawat
182237,315.0,computerscience,16.0,Zhijun  Huang
182239,315.0,computerscience,4.0,Seung h. Pan
182244,315.0,computerscience,12.0,Dan  He
182245,315.0,computerscience,12.0,Emrah  Kostem
182246,315.0,computerscience,11.0,Nicholas A. Furlotte
182247,315.0,computerscience,19.0,Jae H. Sul
182248,315.0,computerscience,14.0,Eun Y. Kang
182249,315.0,computerscience,9.0,Wen-Yun  Yang
182251,315.0,computerscience,26.0,Nirupama  Bulusu
182256,315.0,computerscience,13.0,Hanbiao  Wang
182259,315.0,computerscience,3.0,Athanasios  Stathopoulos
182263,315.0,computerscience,55.0,Joshua M. Hyman
182266,315.0,computerscience,10.0,Donnie H. Kim
182268,315.0,computerscience,14.0,William W. Su
182270,315.0,computerscience,7.0,Vijay  Sivaraman
182271,315.0,computerscience,4.0,Guangyu  Pei
182272,315.0,computerscience,5.0,Sung-Ju  Lee
182274,315.0,computerscience,5.0,Daniel L. Gu
182275,315.0,computerscience,8.0,Aiguo  Fei
182277,315.0,computerscience,1.0,Ken  Tang
182279,315.0,computerscience,4.0,Scott S. Lee
182280,315.0,computerscience,2.0,Sang H. Bae
182281,315.0,computerscience,1.0,Xiaoyan  Hong
182282,315.0,computerscience,7.0,Jun-Hong  Cui
182283,315.0,computerscience,37.0,Rohit  Kapoor
182285,315.0,computerscience,29.0,Ren  Wang
182286,315.0,computerscience,1.0,Jiejun  Kong
182287,315.0,computerscience,8.0,Kaixin  Xu
182288,315.0,computerscience,2.0,Yunjung  Yi
182289,315.0,computerscience,13.0,Ling-Jyh  Chen
182291,315.0,computerscience,13.0,Shirshanka  Das
182292,315.0,computerscience,44.0,Guang  Yang
182293,315.0,computerscience,34.0,Li  Lao
182294,315.0,computerscience,3.0,Tony  Sun
182295,315.0,computerscience,25.0,Claudio E. Palazzi
182296,315.0,computerscience,4.0,Sewook  Jung
182298,315.0,computerscience,13.0,Uichin  Lee
182299,315.0,computerscience,14.0,Yeng Z. Lee
182300,315.0,computerscience,40.0,Alexander C. Chang
182301,315.0,computerscience,17.0,Soon Y. Oh
182302,315.0,computerscience,6.0,Biao  Zhou
182304,315.0,computerscience,8.0,Dae-Ki  Cho
182306,315.0,computerscience,3.0,Chien-Chia  Chen
182308,315.0,computerscience,8.0,Wooseong  Kim
182309,315.0,computerscience,13.0,Erik A. Kline
182310,315.0,computerscience,18.0,Jui-Ting  Weng
182311,315.0,computerscience,36.0,Lung-Chih  Tung
182312,315.0,computerscience,1.0,Yu-Ting  Yu
182314,315.0,computerscience,18.0,Seongwon  Han
182315,315.0,computerscience,10.0,Sungwon  Yang
182317,315.0,computerscience,76.0,Anurag  Garg
182318,315.0,computerscience,8.0,Saurabh  Tewari
182319,315.0,computerscience,52.0,Ranjit  Iyer
182324,315.0,computerscience,25.0,Russell L. Knight
182326,315.0,computerscience,10.0,James E. Clune
182330,315.0,computerscience,4.0,Joseph K. Barker
182331,315.0,computerscience,9.0,Zhenghua  Fu
182332,315.0,computerscience,2.0,Haiyun  Luo
182334,315.0,computerscience,4.0,Xiaoqiao  Meng
182335,315.0,computerscience,3.0,Jerry  Cheng
182336,315.0,computerscience,5.0,Ho Y. Wong
182337,315.0,computerscience,41.0,Suk B. Lee
182339,315.0,computerscience,35.0,Chunyi  Peng
182340,315.0,computerscience,2.0,Chi-Yu  Li
182341,315.0,computerscience,1.0,Jeffrey M. Fischer
182342,315.0,computerscience,7.0,Ru-Gang  Xu
182345,315.0,computerscience,22.0,Indranil  Saha
182349,315.0,computerscience,37.0,Charles  Fleming
182351,315.0,computerscience,26.0,Peter A. Peterson
182352,315.0,computerscience,7.0,Du  Li
182353,315.0,computerscience,10.0,Wai-Man R. Wong
182354,315.0,computerscience,3.0,Jeonghee  Yi
182356,315.0,computerscience,10.0,Murali  Mani
182357,315.0,computerscience,23.0,Scott A. Friedman
182358,315.0,computerscience,37.0,Zhenghao  Wang
182359,315.0,computerscience,7.0,Cheng-Jia  Lai
182360,315.0,computerscience,43.0,Yun  Chi
182361,315.0,computerscience,6.0,Alvin Y. Chen
182369,315.0,computerscience,26.0,Chang-Shing  Perng
182370,315.0,computerscience,1.0,Jing-Ying  Chen
182371,315.0,computerscience,15.0,Wesley T. Chuang
