grantid,pid,BUDGET_START
55523,251305,10/01/1986
55523,412557,10/01/1986
55523,412792,10/01/1986
55523,412897,10/01/1986
55523,415911,10/01/1986
55523,416366,10/01/1986
55523,416633,10/01/1986
55523,416913,10/01/1986
55523,417390,10/01/1986
55523,417868,10/01/1986
55523,418191,10/01/1986
55523,418206,10/01/1986
55523,418429,10/01/1986
55523,418573,10/01/1986
55523,418708,10/01/1986
55523,418718,10/01/1986
55523,418813,10/01/1986
55523,419095,10/01/1986
55523,419610,10/01/1986
55523,419943,10/01/1986
55523,420397,10/01/1986
55523,420399,10/01/1986
55523,420848,10/01/1986
55523,421105,10/01/1986
55523,421550,10/01/1986
55523,421700,10/01/1986
55523,422355,10/01/1986
55523,422403,10/01/1986
55523,422663,10/01/1986
55523,422672,10/01/1986
55523,422925,10/01/1986
55523,423264,10/01/1986
55523,423914,10/01/1986
55523,425006,10/01/1986
55523,425014,10/01/1986
55523,425326,10/01/1986
55523,426419,10/01/1986
55523,426608,10/01/1986
55523,426642,10/01/1986
55523,426721,10/01/1986
55523,426759,10/01/1986
55523,427093,10/01/1986
55523,427930,10/01/1986
55523,428262,10/01/1986
55523,428440,10/01/1986
55523,428441,10/01/1986
55523,428452,10/01/1986
55523,428688,10/01/1986
55523,429059,10/01/1986
55523,430026,10/01/1986
55523,430035,10/01/1986
55523,430606,10/01/1986
55523,430709,10/01/1986
55523,430877,10/01/1986
55523,432425,10/01/1986
55523,432692,10/01/1986
55523,432700,10/01/1986
55523,432809,10/01/1986
55523,432976,10/01/1986
55523,433812,10/01/1986
55523,433839,10/01/1986
55523,433889,10/01/1986
55523,436115,10/01/1986
55523,436303,10/01/1986
55523,436531,10/01/1986
55523,436543,10/01/1986
55523,439555,10/01/1986
55523,439903,10/01/1986
55523,440600,10/01/1986
55523,440607,10/01/1986
55523,442253,10/01/1986
55523,442768,10/01/1986
55523,443155,10/01/1986
55523,446028,10/01/1986
55523,449837,10/01/1986
55523,449948,10/01/1986
55523,450931,10/01/1986
55523,456783,10/01/1986
55523,456854,10/01/1986
55523,457068,10/01/1986
55523,458460,10/01/1986
55523,460519,10/01/1986
55523,463095,10/01/1986
55523,463582,10/01/1986
55523,463677,10/01/1986
55523,482521,10/01/1986
55523,483575,10/01/1986
55523,485589,10/01/1986
55523,523555,10/01/1986
55523,552822,10/01/1986
55523,574298,10/01/1986
55523,589448,10/01/1986
55523,591862,10/01/1986
55523,599346,10/01/1986
55523,608868,10/01/1986
55523,613115,10/01/1986
55523,667915,10/01/1986
55523,668296,10/01/1986
55523,668300,10/01/1986
55523,670018,10/01/1986
55523,679391,10/01/1986
55523,679392,10/01/1986
55526,176496,10/01/1986
55526,180203,10/01/1986
55526,411984,10/01/1986
55526,412771,10/01/1986
55526,419114,10/01/1986
55526,420324,10/01/1986
55526,427960,10/01/1986
55526,441123,10/01/1986
55526,443160,10/01/1986
55526,462278,10/01/1986
55526,478770,10/01/1986
55526,482572,10/01/1986
55526,584091,10/01/1986
55526,592706,10/01/1986
55526,641010,10/01/1986
55526,667140,10/01/1986
55526,706407,10/01/1986
55526,717068,10/01/1986
55526,718220,10/01/1986
55531,430639,10/01/1986
55532,178713,10/01/1986
55532,412835,10/01/1986
55532,413205,10/01/1986
55532,417181,10/01/1986
55532,418207,10/01/1986
55532,419110,10/01/1986
55532,419370,10/01/1986
55532,420184,10/01/1986
55532,422996,10/01/1986
55532,428893,10/01/1986
55532,481053,10/01/1986
55532,592565,10/01/1986
55533,178763,10/01/1986
55533,411757,10/01/1986
55533,417053,10/01/1986
55533,417708,10/01/1986
55533,419913,10/01/1986
55533,420226,10/01/1986
55533,424132,10/01/1986
55533,428773,10/01/1986
55533,432121,10/01/1986
55533,434343,10/01/1986
55533,463220,10/01/1986
55533,463790,10/01/1986
55533,485000,10/01/1986
55533,646013,10/01/1986
55537,93391,10/01/1986
55537,427065,10/01/1986
55537,435929,10/01/1986
55537,574310,10/01/1986
55539,415683,10/01/1986
55539,449906,10/01/1986
55541,415831,10/01/1986
55544,610327,10/01/1986
55550,421418,10/01/1986
55561,418800,10/01/1986
55561,428591,10/01/1986
55562,180206,10/01/1986
55562,237493,10/01/1986
55562,435063,10/01/1986
55562,439308,10/01/1986
55562,574306,10/01/1986
55562,616611,10/01/1986
55564,423527,10/01/1986
55565,182377,10/01/1986
55565,184218,10/01/1986
55565,415685,10/01/1986
55566,418130,10/01/1986
55566,422876,10/01/1986
55566,460517,10/01/1986
55566,507068,10/01/1986
55566,519943,10/01/1986
55568,434241,10/01/1986
55568,478847,10/01/1986
55572,412640,10/01/1986
55572,418498,10/01/1986
55572,432025,10/01/1986
55576,236,10/01/1986
55576,416606,10/01/1986
55576,434881,10/01/1986
55578,423527,10/01/1986
55586,413015,10/01/1986
55586,668590,10/01/1986
55589,444319,10/01/1986
55590,441564,10/01/1986
55590,456769,10/01/1986
55590,558169,10/01/1986
55594,416601,10/01/1986
55594,419389,10/01/1986
55594,479413,10/01/1986
55595,441411,10/01/1986
55595,444666,10/01/1986
55595,620808,10/01/1986
55599,183352,10/01/1986
55599,183444,10/01/1986
55599,184428,10/01/1986
55599,186072,10/01/1986
55599,251301,10/01/1986
55599,413140,10/01/1986
55599,415650,10/01/1986
55599,419321,10/01/1986
55599,419698,10/01/1986
55599,433435,10/01/1986
55599,439615,10/01/1986
55599,559323,10/01/1986
55599,645008,10/01/1986
55599,727480,10/01/1986
55601,184530,10/01/1986
55601,411786,10/01/1986
55601,411891,10/01/1986
55601,426158,10/01/1986
55601,433872,10/01/1986
55602,180515,10/01/1986
55602,411877,10/01/1986
55602,420061,10/01/1986
55603,115488,10/01/1986
55603,478825,10/01/1986
55605,429127,10/01/1986
